Draw Number,Main 1,Main 2,Main 3,Main 4,Main 5,Main 6,Supp 1,Supp 2
3421,1,12,14,19,37,41,7,23
3419,12,20,24,32,39,45,3,29
3417,3,7,17,23,25,26,10,15
3415,13,18,20,21,28,45,23,41
3413,1,22,24,29,36,39,6,45
3411,10,21,22,26,29,41,25,27
3409,4,12,18,19,29,33,17,43
3407,13,33,36,38,39,43,20,41
3405,3,19,27,38,40,42,12,17
3403,4,13,33,35,39,45,14,29
3401,8,12,15,25,26,45,23,28
3399,6,27,28,32,39,40,1,34
3397,6,15,17,21,22,42,18,30
3395,11,16,32,40,41,45,7,28
3393,30,35,36,37,42,43,5,14
3391,1,9,10,13,27,39,15,28
3389,7,14,23,27,38,40,4,8
3387,5,6,10,28,32,40,29,37
3385,17,22,24,25,26,40,13,30
3383,1,3,10,17,20,35,24,34
3381,4,9,14,22,42,45,11,21
3379,3,7,28,31,38,41,15,37
3377,24,27,30,37,43,45,21,22
3375,5,7,20,30,31,39,9,22
3373,5,8,15,32,36,39,9,42
3371,2,16,20,27,28,32,7,8
3369,2,5,23,32,40,43,34,35
3367,9,13,16,21,33,44,11,20
3365,5,20,27,31,37,42,3,38
3363,3,9,33,34,39,41,8,38
3361,6,8,11,21,27,31,19,30
3359,1,13,21,27,34,37,15,45
3357,1,2,5,16,19,42,10,37
3355,3,11,20,28,34,40,25,39
3353,1,11,12,15,25,36,17,33
3351,15,18,26,28,39,41,11,42
3349,12,15,16,37,42,45,6,9
3347,5,27,33,35,42,45,4,16
3345,8,18,21,23,27,37,6,22
3343,1,14,24,26,30,37,10,20
3341,6,25,27,29,38,41,43,45
3339,1,3,9,12,22,29,18,37
3337,5,9,14,27,37,40,18,38
3335,3,8,19,26,29,43,7,11
3333,11,22,25,26,31,42,1,8
3331,13,17,18,20,21,43,5,36
3329,1,4,15,16,17,21,40,42
3327,7,8,10,25,28,42,35,39
3325,12,15,30,37,40,44,16,45
3323,1,15,16,20,31,36,2,38
3321,3,6,14,16,25,31,9,35
3319,16,30,32,35,38,41,39,45
3317,2,12,13,20,30,35,1,7
3315,8,15,18,33,40,43,14,25
3313,7,10,28,34,41,44,8,14
3311,2,4,6,9,37,44,18,23
3309,19,20,21,23,25,43,2,8
3307,4,29,33,40,41,43,2,3
3305,2,3,12,13,16,30,5,17
3303,4,24,25,29,32,43,26,38
3301,7,10,12,28,44,45,3,35
3299,11,13,18,20,42,43,12,30
3297,6,8,13,29,34,39,9,20
3295,1,6,16,17,18,34,13,33
3293,8,29,30,33,36,41,9,23
3291,5,18,29,31,44,45,12,38
3289,6,12,25,36,39,43,8,18
3287,4,11,14,16,19,25,18,34
3285,2,6,11,15,31,34,16,30
3283,20,28,30,31,32,37,1,34
3281,7,14,15,25,35,37,3,20
3279,1,4,10,17,29,45,5,38
3277,5,7,9,16,20,41,6,11
3275,6,13,16,33,36,41,4,15
3273,11,17,25,30,40,41,32,42
3271,17,26,30,32,42,43,6,12
3269,5,8,11,20,29,33,28,38
3267,1,4,25,27,40,41,26,37
3265,7,12,20,31,38,43,6,25
3263,5,6,25,33,34,44,23,31
3261,10,25,26,27,32,35,12,16
3259,2,11,13,15,26,40,30,32
3257,18,20,23,32,40,42,3,33
3255,9,10,16,25,32,34,40,44
3253,1,17,19,32,34,45,22,38
3251,2,11,19,23,32,34,10,39
3249,4,5,7,15,35,38,1,30
3247,9,19,24,28,29,31,5,15
3245,4,17,21,27,28,30,8,25
3243,10,11,15,30,34,36,16,19
3241,21,22,27,31,32,38,10,16
3239,16,19,20,37,39,43,3,27
3237,1,27,28,33,37,42,17,29
3235,3,6,7,9,23,43,14,25
3233,17,30,36,41,42,45,20,35
3231,2,15,21,31,37,38,6,29
3229,8,30,32,33,37,40,14,34
3227,2,16,19,29,30,31,10,11
3225,16,18,25,35,36,40,2,21
3223,1,4,16,26,27,32,31,40
3221,6,17,18,31,36,43,13,33
3219,10,13,22,36,37,38,28,42
3217,9,12,28,29,32,41,2,21
3215,1,2,14,16,19,45,23,30
3213,7,9,12,15,27,40,4,11
3211,4,5,12,23,31,33,3,9
3209,1,2,15,16,21,28,35,40
3207,7,8,13,18,25,43,4,17
3205,17,26,27,28,30,38,7,23
3203,2,6,26,29,41,43,1,7
3201,17,27,29,39,42,45,8,10
3199,4,10,21,30,41,42,27,34
3197,20,21,26,32,41,43,6,22
3195,4,5,11,12,14,31,6,16
3193,12,14,18,19,30,38,29,42
3191,3,13,14,32,37,38,17,29
3189,3,13,17,21,25,35,4,9
3187,3,10,20,28,40,41,11,17
3185,22,28,31,32,40,43,26,37
3183,2,9,14,22,31,33,12,30
3181,13,16,18,19,23,28,8,37
3179,19,29,30,33,44,45,6,13
3177,7,8,28,33,38,41,4,37
3175,1,4,7,9,12,30,28,41
3173,6,11,12,24,26,36,27,43
3171,9,18,29,32,33,41,27,45
3169,2,9,13,18,26,44,1,7
3167,9,12,22,28,41,42,24,27
3165,9,18,23,24,33,36,4,34
3163,4,5,10,17,22,40,8,38
3161,2,6,12,18,44,45,28,32
3159,11,12,15,20,32,33,14,19
3157,7,19,28,29,43,45,24,27
3155,8,12,18,21,24,30,33,37
3153,7,18,22,37,38,39,23,27
3151,19,25,30,38,42,44,4,20
3149,7,10,11,14,37,39,20,40
3147,8,10,12,21,37,42,33,40
3145,10,20,21,25,38,39,4,43
